sample_id,frequency_hz,candidate,candidate_method,sensor_count,measurement_channels,prior_id,surface_path,surface_nodes,model_variant,approximation,include_magnetic,magnetic_sign,weight_mode,unknown_count,channel_unknown_ratio,lambda_reg,relative_residual,effective_rank,rank_ratio,stable_condition,active_nodes,active_fraction,peak_node_norm,peak_x_m,peak_y_m,peak_z_m,peak_center_distance_m,top10_node_energy_share,nmse,correlation,main_lobe_error_deg,peak_error_db
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,1e-10,0.4208211907377387,192,1.0,244.70277170452442,96,1.0,0.03527108891474326,-0.2655508438291286,0.2194113311589519,3.938020833333333,0.35000000000000003,0.17220890663437902,0.7389402517118183,0.555705266918885,165.56181498934873,34.490382318228086
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,1e-08,0.4208213993477134,192,1.0,244.70277170452442,96,1.0,0.03522368766426779,-0.2655508438291286,0.2194113311589519,3.938020833333333,0.35000000000000003,0.17216158912332155,0.738941105949911,0.5557204885286781,165.56181498934873,34.48200308935332
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,1e-06,0.42226582939948526,192,1.0,244.70277170452442,96,1.0,0.0312786028924618,-0.2655508438291286,0.2194113311589519,3.938020833333333,0.35000000000000003,0.16881621484419707,0.7376858649929794,0.5580605588244629,165.56181498934873,33.70045870106532
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,0.0001,0.5144913181966261,192,1.0,244.70277170452442,96,1.0,0.008360944583382443,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.1866384844244307,0.5201910827909305,0.7262778577515256,133.26403324996693,22.515121968383394
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,0.01,0.8225077704552268,192,1.0,244.70277170452442,96,1.0,0.0015035541818149117,0.1372615669808204,-0.0873145733117251,4.309895833333333,0.3499999999999997,0.23115203504210388,0.2775141515364795,0.6376787521603056,134.2362488733787,11.137476791266733
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,1e-10,0.00016030560138298195,322,0.8385416666666666,2813345481.3487434,96,1.0,0.033152379891348935,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.15705754814704823,0.7317635240271211,0.5734373471819658,54.95519650363919,31.44241889931916
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,1e-08,0.0015432248373419125,322,0.8385416666666666,2813345481.3487434,96,1.0,0.03244298486391882,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.15985799551485816,0.7331593849814092,0.5734169757462718,54.95519650363919,31.30204278296672
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,1e-06,0.030162440044573063,322,0.8385416666666666,2813345481.3487434,96,1.0,0.029313442357708233,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.17446783199683047,0.7439449684312387,0.5776473439771094,14.990809903517091,30.028244542251777
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,0.0001,0.26107549956903014,322,0.8385416666666666,2813345481.3487434,96,1.0,0.013288592742760048,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.25514415616266783,0.5171688622040082,0.7053490165262672,14.990809903517091,23.112930694870467
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,0.01,0.6241758469521261,322,0.8385416666666666,2813345481.3487434,96,1.0,0.0025951052117717237,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.29400823789975095,0.2642287639968162,0.7780767817629075,166.7079437239813,16.487202095039507
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,1e-10,0.00016030560138298195,322,0.8385416666666666,2813345481.3487434,96,1.0,0.033152379891348935,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.15705754814704823,0.7317635240271211,0.5734373471819658,54.95519650363919,31.44241889931916
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,1e-08,0.0015432248373419125,322,0.8385416666666666,2813345481.3487434,96,1.0,0.03244298486391882,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.15985799551485816,0.7331593849814092,0.5734169757462718,54.95519650363919,31.30204278296672
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,1e-06,0.030162440044573063,322,0.8385416666666666,2813345481.3487434,96,1.0,0.029313442357708233,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.17446783199683047,0.7439449684312387,0.5776473439771094,14.990809903517091,30.028244542251777
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,0.0001,0.26107549956903014,322,0.8385416666666666,2813345481.3487434,96,1.0,0.013288592742760048,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.25514415616266783,0.5171688622040082,0.7053490165262672,14.990809903517091,23.112930694870467
L1_short_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,0.01,0.6241758469521261,322,0.8385416666666666,2813345481.3487434,96,1.0,0.0025951052117717237,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.29400823789975095,0.2642287639968162,0.7780767817629075,166.7079437239813,16.487202095039507
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,1e-10,0.40211097826983555,192,1.0,244.70277170452442,96,1.0,7.9012877830105746,-0.2655508438291286,0.2194113311589519,3.938020833333333,0.35000000000000003,0.17170978377013243,0.71226887766787,0.5837536569594483,55.34739529503821,34.08260624797973
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,1e-08,0.4021111912903369,192,1.0,244.70277170452442,96,1.0,7.890845328804015,-0.2655508438291286,0.2194113311589519,3.938020833333333,0.35000000000000003,0.17167394835221395,0.7122713507633242,0.5837664787216158,55.34739529503821,34.07413315808563
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,1e-06,0.40359686615862717,192,1.0,244.70277170452442,96,1.0,7.018342134265716,-0.2655508438291286,0.2194113311589519,3.938020833333333,0.35000000000000003,0.16859742817391704,0.7110661227646565,0.5859794157500855,55.34739529503821,33.28401425825827
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,0.0001,0.5000868916087965,192,1.0,244.70277170452442,96,1.0,1.8436253325763536,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.1852112535265677,0.47987642737503067,0.7599766463660033,94.49350941609515,21.89072835721683
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,electric_sheet_only,electric_dipole_sheet,0,0.0,sqrt_area,192,1.6875,0.01,0.8247398522466983,192,1.0,244.70277170452442,96,1.0,0.3338845054798205,0.1372615669808204,-0.0873145733117251,4.309895833333333,0.3499999999999997,0.23457329726738904,0.2745060077605333,0.701857721942911,94.61331372075121,10.731874924502616
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,1e-10,0.0001434386021577621,322,0.8385416666666666,2813345481.3487434,96,1.0,6.926202178776145,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.15822756082837763,0.6984770605598675,0.6130356550765301,171.88944531161474,30.377446354922178
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,1e-08,0.0014206097514330642,322,0.8385416666666666,2813345481.3487434,96,1.0,6.773091434136184,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.16107472867366474,0.6994423909372521,0.6134131222230581,171.88944531161474,30.26429061104082
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,1e-06,0.02798378423318721,322,0.8385416666666666,2813345481.3487434,96,1.0,6.130308382572054,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.1761959382786066,0.7160029475765265,0.6177500490315854,144.77927745728067,29.147537070906722
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,0.0001,0.24336023912524693,322,0.8385416666666666,2813345481.3487434,96,1.0,2.9087686020089163,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.2585544568159001,0.4966059529450587,0.7459193662129551,144.77927745728067,22.712666221877416
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_plus,electric_magnetic_dipole_sheet,1,1.0,sqrt_area,384,0.84375,0.01,0.6146694377310085,322,0.8385416666666666,2813345481.3487434,96,1.0,0.5883645043896009,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.30032529715260553,0.25378901784394065,0.813471197426794,35.209375630864926,16.17637677891583
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,1e-10,0.0001434386021577621,322,0.8385416666666666,2813345481.3487434,96,1.0,6.926202178776145,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.15822756082837763,0.6984770605598675,0.6130356550765301,171.88944531161474,30.377446354922178
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,1e-08,0.0014206097514330642,322,0.8385416666666666,2813345481.3487434,96,1.0,6.773091434136184,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.16107472867366474,0.6994423909372521,0.6134131222230581,171.88944531161474,30.26429061104082
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,1e-06,0.02798378423318721,322,0.8385416666666666,2813345481.3487434,96,1.0,6.130308382572054,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.1761959382786066,0.7160029475765265,0.6177500490315854,144.77927745728067,29.147537070906722
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,0.0001,0.24336023912524693,322,0.8385416666666666,2813345481.3487434,96,1.0,2.9087686020089163,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.2585544568159001,0.4966059529450587,0.7459193662129551,144.77927745728067,22.712666221877416
L1_halfwave_dipole_z_1p2G,1200000000.0,full_grid_162,full_grid,162,324,level1_local_sphere_r0p35,data\source_priors\huygens_surface\level1_local_sphere_r0p35_nodes.csv,96,huygens_em_minus,electric_magnetic_dipole_sheet,1,-1.0,sqrt_area,384,0.84375,0.01,0.6146694377310085,322,0.8385416666666666,2813345481.3487434,96,1.0,0.5883645043896009,0.0503864191289565,0.0,4.346354166666667,0.35000000000000026,0.30032529715260553,0.25378901784394065,0.813471197426794,35.209375630864926,16.17637677891583
