sample_id,frequency_hz,variant,variant_family,impedance_ohm,impedance_factor_to_eta0,calibration_mode,model_note,sensor_count,farfield_points,farfield_shape,electric_current_l2,magnetic_current_l2,predicted_peak_power,reference_peak_power,best_power_scale,scaled_power_nmse,nmse,correlation,main_lobe_error_deg,peak_error_db,main_lobe_region_threshold,reference_lobe_region_points,predicted_lobe_region_points,main_lobe_region_jaccard,reference_lobe_region_capture,predicted_lobe_region_precision,main_lobe_region_min_capture,true_peak_to_pred_region_error_deg,pred_peak_to_true_region_error_deg,main_lobe_region_error_deg,status,source_results_csv,rank_by_nmse,nmse_delta_from_best,nmse_ratio_to_best,in_nmse_plateau
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0312,outgoing_equivalence_minus,11.772822302125,0.03125,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=11.7728 ohm, M sign flipped",96,2664,37x72,1.1578826568680036,13.631546766020165,0.079384306234217,0.0021655445958506,0.0284515362626881,0.0008012910468817,0.0024976015303531,0.9989985078768624,24.984524595905555,15.64167521949444,0.75,720,656,0.9111111111111112,0.924147924640994,1.0,0.924147924640994,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,1,0.0,1.0,True
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0156,outgoing_equivalence_minus,5.8864111510625,0.015625,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=5.88641 ohm, M sign flipped",96,2664,37x72,2.3157653137360072,13.631546766020165,0.0800332620370118,0.0021655445958506,0.0282476967997549,0.0008088445274005,0.0025810464119279,0.9989722918556112,139.80864822947711,15.67703386710603,0.75,720,654,0.9083333333333332,0.9216711815219152,1.0,0.9216711815219152,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,2,7.553480518799976e-06,1.0094266378592336,True
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0625,outgoing_equivalence_minus,23.54564460425,0.0625,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=23.5456 ohm, M sign flipped",96,2664,37x72,0.5789413284340018,13.631546766020165,0.0793419170979545,0.0021655445958506,0.02850842673035,0.0008216352477356,0.0026353231220619,0.998985004376256,19.987691420933665,15.639355581564091,0.75,720,657,0.9125,0.9253862964972204,1.0,0.9253862964972204,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,3,2.0344200853899966e-05,1.0253892776327296,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p125,outgoing_equivalence_minus,47.0912892085,0.125,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=47.0913 ohm, M sign flipped",96,2664,37x72,0.2894706642170009,13.631546766020165,0.0793605969544028,0.0021655445958506,0.028525411698277,0.0008382811408981,0.002720279745175,0.9989712076048372,19.987691420933665,15.640377942005465,0.75,720,656,0.9111111111111112,0.9242087047182428,1.0,0.9242087047182428,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,4,3.699009401640001e-05,1.0461631190818248,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p188,outgoing_equivalence_minus,70.63693381275,0.1875,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=70.6369 ohm, M sign flipped",96,2664,37x72,0.1929804428113339,13.631546766020165,0.0793706786126802,0.0021655445958506,0.0285293666731356,0.0008448170585966,0.0027489053978656,0.9989655408688848,19.987691420933665,15.640929617602923,0.75,720,656,0.9111111111111112,0.9242087047182428,1.0,0.9242087047182428,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,5,4.3526011714899995e-05,1.0543198527979136,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p25,outgoing_equivalence_minus,94.182578417,0.25,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=94.1826 ohm, M sign flipped",96,2664,37x72,0.1447353321085004,13.631546766020165,0.0793764422617177,0.0021655445958506,0.0285310236349152,0.0008482723709459,0.0027632721549543,0.9989625054107432,19.987691420933665,15.64124497714582,0.75,720,655,0.9097222222222222,0.923031112892598,1.0,0.923031112892598,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,6,4.698132406420004e-05,1.0586320341990993,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p375,outgoing_equivalence_minus,141.2738676255,0.375,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=141.274 ohm, M sign flipped",96,2664,37x72,0.0964902214056669,13.631546766020165,0.0793826877906881,0.0021655445958506,0.0285324667899748,0.0008518532271891,0.0027776738252251,0.9989593346934876,19.987691420933665,15.641586677023982,0.75,720,655,0.9097222222222222,0.923031112892598,1.0,0.923031112892598,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,7,5.056218030739996e-05,1.0631008926209364,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p5,outgoing_equivalence_minus,188.365156834,0.5,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=188.365 ohm, M sign flipped",96,2664,37x72,0.0723676660542502,13.631546766020165,0.0793859912601482,0.0021655445958506,0.0285331081645512,0.0008536908823285,0.0027848875113948,0.9989576984904344,19.987691420933665,15.641767402664131,0.75,720,655,0.9097222222222222,0.923031112892598,1.0,0.923031112892598,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,8,5.239983544680002e-05,1.0653942604883944,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p75,outgoing_equivalence_minus,282.547735251,0.75,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=282.548 ohm, M sign flipped",96,2664,37x72,0.0482451107028334,13.631546766020165,0.0793894151995912,0.0021655445958506,0.028533696058132,0.0008555601002802,0.0027921096370643,0.9989560283267922,19.987691420933665,15.641954711018728,0.75,720,655,0.9097222222222222,0.923031112892598,1.0,0.923031112892598,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,9,5.426905339850005e-05,1.0677270183033907,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta1p5,outgoing_equivalence_minus,565.095470502,1.5,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=565.095 ohm, M sign flipped",96,2664,37x72,0.0241225553514167,13.631546766020165,0.0793929596090175,0.0021655445958506,0.0285342304622007,0.0008574609391212,0.0027993401069051,0.9989543241548972,19.987691420933665,15.642148601235768,0.75,720,656,0.9111111111111112,0.924208703303956,1.0,0.924208703303956,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,10,5.616989223949996e-05,1.0700992385452084,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta2,outgoing_equivalence_minus,753.460627336,2.0,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=753.461 ohm, M sign flipped",96,2664,37x72,0.0180919165135625,13.631546766020165,0.0793938645348087,0.0021655445958506,0.028534355704541,0.0008579410963612,0.0028011490170136,0.998953892792592,19.987691420933665,15.642198102103336,0.75,720,656,0.9111111111111112,0.924208703303956,1.0,0.924208703303956,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,11,5.665004947950003e-05,1.0706984680534732,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta3,outgoing_equivalence_minus,1130.190941004,3.0,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=1130.19 ohm, M sign flipped",96,2664,37x72,0.0120612776757083,13.631546766020165,0.0793947769899743,0.0021655445958506,0.0285344776031715,0.000858423234409,0.0028029584412233,0.9989534593010848,19.987691420933665,15.642248014268285,0.75,720,656,0.9111111111111112,0.924208703303956,1.0,0.924208703303956,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,12,5.71321875273e-05,1.0713001695821205,False
L1_halfwave_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta4,outgoing_equivalence_minus,1506.921254672,4.0,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=1506.92 ohm, M sign flipped",96,2664,37x72,0.0090459582567812,13.631546766020165,0.0793952360410722,0.0021655445958506,0.0285345372985594,0.0008586650465157,0.0028038633456544,0.9989532417566518,19.987691420933665,15.642273124582832,0.75,720,656,0.9111111111111112,0.924208703303956,1.0,0.924208703303956,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_halfwave_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,13,5.737399963400003e-05,1.0716019477033674,False
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0625,outgoing_equivalence_minus,23.54564460425,0.0625,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=23.5456 ohm, M sign flipped",96,2664,37x72,0.0005148638090104,0.0121228002665509,5.748187961346694e-08,3.914311124569356e-08,0.7206550069844742,0.0006959354012775,0.0037271678277328,0.9989454730423356,139.52260287822136,1.668756186944811,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,1,0.0,1.0,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p125,outgoing_equivalence_minus,47.0912892085,0.125,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=47.0913 ohm, M sign flipped",96,2664,37x72,0.0002574319045052,0.0121228002665509,5.7468352677076874e-08,3.914311124569356e-08,0.7209532593730142,0.0006959839019541,0.0037458012864185,0.9989453425233324,139.52260287822136,1.667734062197202,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,2,4.850067660000252e-08,1.0000696913485232,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p188,outgoing_equivalence_minus,70.63693381275,0.1875,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=70.6369 ohm, M sign flipped",96,2664,37x72,0.0001716212696701,0.0121228002665509,5.7467412714586336e-08,3.914311124569356e-08,0.721008951012742,0.0006961187156538,0.0037522901568669,0.9989451194574628,139.52260287822136,1.6676630276464768,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,3,1.833143763000115e-07,1.0002634071725098,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p25,outgoing_equivalence_minus,94.182578417,0.25,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=94.1826 ohm, M sign flipped",96,2664,37x72,0.0001287159522526,0.0121228002665509,5.7467611923898336e-08,3.914311124569356e-08,0.721028591196995,0.0006962082909021,0.0037555863959004,0.9989449743744064,139.52260287822136,1.667678082327191,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,4,2.728896245999526e-07,1.0003921191882164,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p375,outgoing_equivalence_minus,141.2738676255,0.375,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=141.274 ohm, M sign flipped",96,2664,37x72,8.581063483507376e-05,0.0121228002665509,5.7468257260248777e-08,3.914311124569356e-08,0.7210427597012392,0.0006963126177039,0.0037589170844623,0.9989448069658676,139.52260287822136,1.6677268514395598,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,5,3.7721642639999484e-07,1.0005420279320574,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p5,outgoing_equivalence_minus,188.365156834,0.5,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=188.365 ohm, M sign flipped",96,2664,37x72,6.435797612630531e-05,0.0121228002665509,5.746874722606323e-08,3.914311124569356e-08,0.7210477918666408,0.0006963703060685,0.0037605953263573,0.9989447148998972,139.52260287822136,1.6677638785833406,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,6,4.3490479099993814e-07,1.0006249212070568,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p75,outgoing_equivalence_minus,282.547735251,0.75,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=282.548 ohm, M sign flipped",96,2664,37x72,4.290531741753688e-05,0.0121228002665509,5.74693487236373e-08,3.914311124569356e-08,0.7210514558951783,0.0006964316739184,0.003762282155228,0.9989446172652248,139.52260287822136,1.6678093338477835,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,7,4.962726408999857e-07,1.0007131015895858,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta1p5,outgoing_equivalence_minus,565.095470502,1.5,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=565.095 ohm, M sign flipped",96,2664,37x72,2.145265870876844e-05,0.0121228002665509,5.7470061752970965e-08,3.914311124569356e-08,0.7210537517470673,0.0006964967182857,0.003763977562339,0.9989445140663266,139.52260287822136,1.6678632169682488,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,8,5.613170082000149e-07,1.000806564815024,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta2,outgoing_equivalence_minus,753.460627336,2.0,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=753.461 ohm, M sign flipped",96,2664,37x72,1.6089494031576327e-05,0.0121228002665509,5.74702574371418e-08,3.914311124569356e-08,0.7210541119292617,0.000696513553478,0.0037644027534309,0.9989444873977276,139.52260287822136,1.667878004565185,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,9,5.781522005000265e-07,1.0008307555549534,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta3,outgoing_equivalence_minus,1130.190941004,3.0,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=1130.19 ohm, M sign flipped",96,2664,37x72,1.072632935438422e-05,0.0121228002665509,5.747046009204768e-08,3.914311124569356e-08,0.7210543865986028,0.0006965306182141,0.0037648284799699,0.9989444603817242,139.52260287822136,1.667893318878379,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,10,5.952169366000215e-07,1.0008552761298066,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta4,outgoing_equivalence_minus,1506.921254672,4.0,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=1506.92 ohm, M sign flipped",96,2664,37x72,8.044747015788164e-06,0.0121228002665509,5.7470564033526185e-08,3.914311124569356e-08,0.7210544918658994,0.0006965392366459,0.0037650415439882,0.9989444467434686,139.52260287822136,1.667901173551834,0.75,864,794,0.9189814814814816,0.9302475179104308,1.0,0.9302475179104308,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,11,6.038353683999499e-07,1.0008676600835242,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0312,outgoing_equivalence_minus,11.772822302125,0.03125,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=11.7728 ohm, M sign flipped",96,2664,37x72,0.0010297276180208,0.0121228002665509,5.7557115206378695e-08,3.914311124569356e-08,0.719470268699697,0.0006974476825698,0.0036936851797153,0.9989432986869564,139.52260287822136,1.6744367663959665,0.75,864,792,0.9166666666666666,0.9282848544434572,1.0,0.9282848544434572,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,12,1.512281292299954e-06,1.0021730196359087,True
L1_short_dipole_z_1p2G,1200000000.0,outgoing_equivalence_minus_eta0p0156,outgoing_equivalence_minus,5.8864111510625,0.015625,scalar_impedance_scan,"J=-E_t/eta_eff, eta_eff=5.88641 ohm, M sign flipped",96,2664,37x72,0.0020594552360417,0.0121228002665509,5.7900313272729627e-08,3.914311124569356e-08,0.7147814437320723,0.0007068863472574,0.0036420134681516,0.9989292438833328,139.52260287822136,1.7002557141017924,0.75,864,791,0.9155092592592592,0.9272606089348528,1.0,0.9272606089348528,0.0,0.0,0.0,region_shape_pass,data\sampling_layouts\cst_meshsafe_huygens_impedance_lower_scan\L1_short_dipole_z_1p2G\meshsafe_huygens_extrapolation_results.csv,13,1.0950945979900013e-05,1.01573557827321,False
