sample_id,class_label,variant_index,cst_project,carrier_model,working_state,source_count,frequency_count,frequency_hz_list,frequency_label_list,nearfield_export,farfield_export,expected_nearfield_rows_total,expected_farfield_rows_total
L2_comm_pair_000,comm_pair,0,CST_L2_comm_pair_000.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_000_nearfield.csv,data/cst_exports/level2/L2_comm_pair_000_farfield.csv,2430,3420
L2_comm_pair_001,comm_pair,1,CST_L2_comm_pair_001.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_001_nearfield.csv,data/cst_exports/level2/L2_comm_pair_001_farfield.csv,2430,3420
L2_comm_pair_002,comm_pair,2,CST_L2_comm_pair_002.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_002_nearfield.csv,data/cst_exports/level2/L2_comm_pair_002_farfield.csv,2430,3420
L2_comm_pair_003,comm_pair,3,CST_L2_comm_pair_003.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_003_nearfield.csv,data/cst_exports/level2/L2_comm_pair_003_farfield.csv,2430,3420
L2_comm_pair_004,comm_pair,4,CST_L2_comm_pair_004.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_004_nearfield.csv,data/cst_exports/level2/L2_comm_pair_004_farfield.csv,2430,3420
L2_comm_pair_005,comm_pair,5,CST_L2_comm_pair_005.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_005_nearfield.csv,data/cst_exports/level2/L2_comm_pair_005_farfield.csv,2430,3420
L2_comm_pair_006,comm_pair,6,CST_L2_comm_pair_006.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_006_nearfield.csv,data/cst_exports/level2/L2_comm_pair_006_farfield.csv,2430,3420
L2_comm_pair_007,comm_pair,7,CST_L2_comm_pair_007.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_007_nearfield.csv,data/cst_exports/level2/L2_comm_pair_007_farfield.csv,2430,3420
L2_comm_pair_008,comm_pair,8,CST_L2_comm_pair_008.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_008_nearfield.csv,data/cst_exports/level2/L2_comm_pair_008_farfield.csv,2430,3420
L2_comm_pair_009,comm_pair,9,CST_L2_comm_pair_009.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_009_nearfield.csv,data/cst_exports/level2/L2_comm_pair_009_farfield.csv,2430,3420
L2_comm_pair_010,comm_pair,10,CST_L2_comm_pair_010.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_010_nearfield.csv,data/cst_exports/level2/L2_comm_pair_010_farfield.csv,2430,3420
L2_comm_pair_011,comm_pair,11,CST_L2_comm_pair_011.cst,level2_multisource_no_airframe,comm_pair_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_comm_pair_011_nearfield.csv,data/cst_exports/level2/L2_comm_pair_011_farfield.csv,2430,3420
L2_mixed_avionics_000,mixed_avionics,0,CST_L2_mixed_avionics_000.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_000_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_000_farfield.csv,2430,3420
L2_mixed_avionics_001,mixed_avionics,1,CST_L2_mixed_avionics_001.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_001_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_001_farfield.csv,2430,3420
L2_mixed_avionics_002,mixed_avionics,2,CST_L2_mixed_avionics_002.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_002_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_002_farfield.csv,2430,3420
L2_mixed_avionics_003,mixed_avionics,3,CST_L2_mixed_avionics_003.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_003_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_003_farfield.csv,2430,3420
L2_mixed_avionics_004,mixed_avionics,4,CST_L2_mixed_avionics_004.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_004_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_004_farfield.csv,2430,3420
L2_mixed_avionics_005,mixed_avionics,5,CST_L2_mixed_avionics_005.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_005_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_005_farfield.csv,2430,3420
L2_mixed_avionics_006,mixed_avionics,6,CST_L2_mixed_avionics_006.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_006_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_006_farfield.csv,2430,3420
L2_mixed_avionics_007,mixed_avionics,7,CST_L2_mixed_avionics_007.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_007_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_007_farfield.csv,2430,3420
L2_mixed_avionics_008,mixed_avionics,8,CST_L2_mixed_avionics_008.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_008_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_008_farfield.csv,2430,3420
L2_mixed_avionics_009,mixed_avionics,9,CST_L2_mixed_avionics_009.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_009_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_009_farfield.csv,2430,3420
L2_mixed_avionics_010,mixed_avionics,10,CST_L2_mixed_avionics_010.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_010_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_010_farfield.csv,2430,3420
L2_mixed_avionics_011,mixed_avionics,11,CST_L2_mixed_avionics_011.cst,level2_multisource_no_airframe,mixed_avionics_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_mixed_avionics_011_nearfield.csv,data/cst_exports/level2/L2_mixed_avionics_011_farfield.csv,2430,3420
L2_multi_state_on_000,multi_state_on,0,CST_L2_multi_state_on_000.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_000_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_000_farfield.csv,2430,3420
L2_multi_state_on_001,multi_state_on,1,CST_L2_multi_state_on_001.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_001_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_001_farfield.csv,2430,3420
L2_multi_state_on_002,multi_state_on,2,CST_L2_multi_state_on_002.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_002_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_002_farfield.csv,2430,3420
L2_multi_state_on_003,multi_state_on,3,CST_L2_multi_state_on_003.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_003_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_003_farfield.csv,2430,3420
L2_multi_state_on_004,multi_state_on,4,CST_L2_multi_state_on_004.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_004_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_004_farfield.csv,2430,3420
L2_multi_state_on_005,multi_state_on,5,CST_L2_multi_state_on_005.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_005_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_005_farfield.csv,2430,3420
L2_multi_state_on_006,multi_state_on,6,CST_L2_multi_state_on_006.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_006_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_006_farfield.csv,2430,3420
L2_multi_state_on_007,multi_state_on,7,CST_L2_multi_state_on_007.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_007_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_007_farfield.csv,2430,3420
L2_multi_state_on_008,multi_state_on,8,CST_L2_multi_state_on_008.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_008_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_008_farfield.csv,2430,3420
L2_multi_state_on_009,multi_state_on,9,CST_L2_multi_state_on_009.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_009_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_009_farfield.csv,2430,3420
L2_multi_state_on_010,multi_state_on,10,CST_L2_multi_state_on_010.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_010_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_010_farfield.csv,2430,3420
L2_multi_state_on_011,multi_state_on,11,CST_L2_multi_state_on_011.cst,level2_multisource_no_airframe,multi_state_on_state,3,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_multi_state_on_011_nearfield.csv,data/cst_exports/level2/L2_multi_state_on_011_farfield.csv,2430,3420
L2_radar_top_000,radar_top,0,CST_L2_radar_top_000.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_000_nearfield.csv,data/cst_exports/level2/L2_radar_top_000_farfield.csv,2430,3420
L2_radar_top_001,radar_top,1,CST_L2_radar_top_001.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_001_nearfield.csv,data/cst_exports/level2/L2_radar_top_001_farfield.csv,2430,3420
L2_radar_top_002,radar_top,2,CST_L2_radar_top_002.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_002_nearfield.csv,data/cst_exports/level2/L2_radar_top_002_farfield.csv,2430,3420
L2_radar_top_003,radar_top,3,CST_L2_radar_top_003.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_003_nearfield.csv,data/cst_exports/level2/L2_radar_top_003_farfield.csv,2430,3420
L2_radar_top_004,radar_top,4,CST_L2_radar_top_004.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_004_nearfield.csv,data/cst_exports/level2/L2_radar_top_004_farfield.csv,2430,3420
L2_radar_top_005,radar_top,5,CST_L2_radar_top_005.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_005_nearfield.csv,data/cst_exports/level2/L2_radar_top_005_farfield.csv,2430,3420
L2_radar_top_006,radar_top,6,CST_L2_radar_top_006.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_006_nearfield.csv,data/cst_exports/level2/L2_radar_top_006_farfield.csv,2430,3420
L2_radar_top_007,radar_top,7,CST_L2_radar_top_007.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_007_nearfield.csv,data/cst_exports/level2/L2_radar_top_007_farfield.csv,2430,3420
L2_radar_top_008,radar_top,8,CST_L2_radar_top_008.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_008_nearfield.csv,data/cst_exports/level2/L2_radar_top_008_farfield.csv,2430,3420
L2_radar_top_009,radar_top,9,CST_L2_radar_top_009.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_009_nearfield.csv,data/cst_exports/level2/L2_radar_top_009_farfield.csv,2430,3420
L2_radar_top_010,radar_top,10,CST_L2_radar_top_010.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_010_nearfield.csv,data/cst_exports/level2/L2_radar_top_010_farfield.csv,2430,3420
L2_radar_top_011,radar_top,11,CST_L2_radar_top_011.cst,level2_multisource_no_airframe,radar_top_state,2,5,900000000;1050000000;1200000000;1350000000;1500000000,900MHz;1050MHz;1200MHz;1350MHz;1500MHz,data/cst_exports/level2/L2_radar_top_011_nearfield.csv,data/cst_exports/level2/L2_radar_top_011_farfield.csv,2430,3420
