category,artifact,scope,status,trust_level,best_setting,min_correlation,max_nmse,max_main_lobe_error_deg,sensor_count,evidence_path,command,interpretation,next_action,blocker
data_boundary,true_nearfield_monitor_gate,18-row true CST near-field monitor rerun queue,pending_source,blocked_by_authoritative_monitor_data,"queue_rows=18, status_counts={'pending_source': 18}",,,,,data\cst_true_nearfield_workpack\gate_report\true_nearfield_gate_summary.json,python code\run_true_nearfield_gate.py,The immediate G3 boundary is data availability: real CST true near-field monitor CSVs are not present yet.,CST operator exports full_grid_162 true-monitor CSVs; algorithm operator reruns this gate and then reruns source/SWE/Huygens diagnostics if needed.,missing data/cst_exports/level1_true_nearfield/*.csv
trusted_sanity,scalar_spherical_nf_ff_baseline,Level 1 full 162-point scalar angular NF-FF sanity check,strict_pass,trusted_angle_polarization_check,"lmax=4, lambda=0.0, modes=24, ff_complex_l2=0.0316",0.9990092548096616,0.0009260393811542808,0.0,,data\sampling_layouts\spherical_nf_ff_baseline\spherical_nf_ff_summary.json,python code\run_spherical_nf_ff_baseline.py,"The scalar angular SWE check now includes total complex Etheta/Ephi residuals; it strongly supports angle, phase, and tangential-component consistency.","Use this as a component-aware sanity baseline, while still labeling it non-vector and FarfieldPlot-derived.",
trusted_sanity,center_source_prior,"Level 1 known z-source, full 162-point reference",corr_pass_nmse_near,trusted_data_path_check,"full_grid_162, lambda=0.0001, grid=[1, 1, 1]",0.9926081196114998,0.01778445165053833,0.0,162.0,data\sampling_layouts\cst_level1_center_source_check\cst_sampling_tradeoff_summary.json,python code\run_cst_sampling_tradeoff.py --level1-center-source-grid --out-dir data\sampling_layouts\cst_level1_center_source_check,Known center-source prior validates the current CST/Python angle and far-field comparison chain.,Keep this as a sanity baseline; do not use it alone to prove generic reduced sampling.,
trusted_sanity,meshsafe_huygens_rotation_covariance,2 real E/H base cases x 9 rigid rotations,rotation_covariance_strict_pass,operator_covariance_not_new_cst_source,eh_love_equivalence_minus_j96; strict=18/18; base_accepted=2/2,0.9999999999999998,4.0381925717728976e-29,1.2074182697257333e-06,96.0,data\sampling_layouts\cst_meshsafe_huygens_rotation_covariance\huygens_rotation_covariance_summary.json,python code\run_cst_huygens_rotation_covariance.py,"The frozen real E/H Huygens candidate is now checked under rigid rotations of the measured CST local E/H surface fields. This proves the Python current extraction and far-field operator are coordinate-covariant for the current vector rule; it does not replace real CST x/y, tilted, off-axis, or multi-source exports.","Keep this as the prerequisite geometry-rule evidence, then add true CST source-family exports to test the frozen rule against independent electromagnetic solves.",
trusted_sanity,meshsafe_huygens_source_family_reduced_layout,25 reduced-layout rows on the real short x CST matched E/H pilot; 9 deployable frozen passes,reduced_layout_validated,single_source_cst_sparse_reconstruction_gate,smallest=fibonacci_snap_24/poly_reconstruct_full96; sensors=24; degree=3; direct_subset_accept=0; reconstruct_accept=12,0.9942109460499295,0.0014029945844148,8.537736462515939e-07,24.0,data\sampling_layouts\cst_meshsafe_huygens_source_family_reduced_layout_x\reduced_layout_summary.json,python code\run_cst_meshsafe_huygens_reduced_layout.py,"The real short x CST E/H surface supports sparse sampling only when the selected 24/32/48/72 probes reconstruct the full local 96-node Huygens surface before the frozen j96 propagation step. Direct quadrature thinning is retained as a failed diagnostic, so the claim is sparse measurement plus reconstruction rather than directly deleting surface cells.","Use geometry-only 24-point Fibonacci and farthest-point layouts as the current candidate sampling plans, then repeat the same reconstruction/frozen-j96 gate on y-oriented and off-axis CST source-family exports.",single-source evidence until additional source-family orientations are exported
trusted_sanity,source_model_sweep_best,Level 1 source-prior scan on full 162-point layout,corr_pass_nmse_near,trusted_for_known_source_only,"single_center, lambda=0.001, candidate=full_grid_162",0.9926081196115,0.017784451650445617,0.0,,data\sampling_layouts\cst_level1_source_model_sweep\cst_source_model_sweep_summary.json,python code\run_cst_source_model_sweep.py,The scan confirms that the current data chain works under a tight known-source prior.,Keep the center prior as calibration evidence; use physical priors for unknown/source-rich cases.,
trusted_sanity,meshsafe_huygens_real_cst_batch,2/2 Level 1 real CST local Huygens exports,real_eh_frozen_rule_region_pass,real_cst_data_chain_not_final_huygens_proof,L1_short_dipole_z_1p2G:strict_pass/eh_love_equivalence_plus_j256/eta=1.000eta0/J=256.0000/H=loaded; L1_halfwave_dipole_z_1p2G:strict_pass/eh_love_equivalence_minus_j96/eta=1.000eta0/J=96.0000/H=loaded; frozen:frozen_real_eh_mixed_strict_region_pass/eh_love_equivalence_minus_j96/J=96.0000/accepted=2/2/strict=1/2,0.998895662765677,0.0007303417569844,0.0,96.0,data\sampling_layouts\cst_meshsafe_huygens_extrapolation_batch\meshsafe_huygens_batch_summary.json,python code\run_cst_meshsafe_huygens_extrapolation.py --batch,"The mesh-safe route now uses real CST local probe curves for two Level 1 sources and the best diagnostic branches now use real E/H currents rather than the scalar eta_eff proxy (0/2 best settings use non-eta0 eta_eff). Matching H-field is now loaded for 2/2 cases and real E/H candidates are accepted for 2/2 cases; 2/2 best settings currently select a real-H branch, with J-scale values 96.0000, 256.0000, families eh_love_equivalence_minus, eh_love_equivalence_plus, ratio 2.6667, and calibration status cross_case_sign_and_scale_disagreement. The frozen-rule gate selects eh_love_equivalence_minus_j96 with status frozen_real_eh_mixed_strict_region_pass, accepted 2/2, strict 1/2, min Corr 0.9989, and max scaled NMSE 7.3034e-04. This is now an operator-stability question rather than a CST export blocker.","Promote the frozen real E/H candidate into a geometry/physics rule, then test the accepted rule on a broader CST source-family set before propagating it to the 13 m measurement shell.",
rerun_priority,scalar_spherical_nf_ff_reduced_layout,Reduced-layout scalar NF-FF diagnostic for true-monitor queue priority,strict_pass,layout_priority_not_final_proof,"geometric_farthest_32, lmax=4, lambda=1e-10, ff_complex_l2=0.0347",0.9991228831465736,0.0009766965566670605,0.0,32.0,data\sampling_layouts\spherical_nf_ff_tradeoff\spherical_nf_ff_tradeoff_summary.json,python code\run_spherical_nf_ff_tradeoff.py,"The 32-point reduced layout has strong power-pattern and complex-component sanity metrics; it is a true-monitor rerun priority, not final vector SWE proof.","Export full_grid_162 true-monitor CSV first, then derive or compare geometric_farthest_32 and fibonacci_snap_120.",
rerun_priority,meshsafe_huygens_source_family_solver_safe_pilot,7 tracked CST trial(s): 6 solver-safe ladder and 1 matched-field; 7 executed; 7 finished; 0 timed out,source_family_solver_safe_reduced_layout_validated,validated_reduced_layout_cst_pilot,target=L1_short_dipole_x_1p2G; artifact_ready=7; ladder=none->efarfield96->efield24->hfield24->efield48->efield96->hfield96; validation=eh_love_equivalence_minus/region_shape_pass; frozen_j96=region_shape_pass; corr=0.9966; scaled_nmse=8.1796e-04; region_jaccard=0.9441,0.9966187532119293,0.0008179603314047596,0.0,96.0,outputs\cst_meshsafe_huygens_source_family_solver_safe_status\solver_safe_status_summary.json,python code\build_cst_source_family_solver_safe_status.py,"The short x source-family case now has completed 96-point local E/H CST solver evidence, ResultTree local E/H CSV exports, a CST FarfieldPlot far-field reference, a passed real/frozen E/H Huygens validation, and a passed reduced-layout reconstruction gate. The current CST work is therefore source-family generalization, not runtime repair.","short x source-family pilot has completed matched 96-point local E/H CST solves, ResultTree CSV export, CST far-field reference export, frozen E/H Huygens validation, and a sparse reconstruction gate down to a deployable 24-point Fibonacci layout; next apply the same export/reconstruction/frozen-j96 chain to y-oriented and off-axis source-family cases without retuning",
rerun_priority,meshsafe_huygens_source_family_workpack,1 CST source-family solver pilot trial(s); 1 timed out; 0 completed,source_family_solver_pilot_timed_out,historical_timeout_superseded_by_reduced_layout_cst_pilot,solver_start_ok=1/1; max_elapsed_s=609.3600; max_time_steps=1457297; real_cst_api_trials=1,,,,96.0,outputs\cst_meshsafe_huygens_source_family_solver_status\source_family_solver_status_summary.json,python code\build_cst_source_family_solver_status.py,"The original 600 s source-family solver pilot is now historical timeout evidence. The solver-safe follow-up has completed the matched 96-point E/H short x pilot, exported local E/H and far-field references, passed the frozen E/H Huygens validation, and passed a sparse reconstruction gate down to a deployable 24-point Fibonacci layout.","Carry the same CST export, sparse reconstruction, and frozen j96 Huygens chain to the y-oriented and off-axis source-family cases without retuning.",
model_bottleneck,generic_equivalent_source_grid,"Level 1 generic 5x3x3 source grid, full 162-point reference",diagnostic_only,diagnostic_only,"full_grid_162, lambda=0.0001, grid=[5, 3, 3]",0.7929894882043745,0.3203551638682805,89.92574848934078,162.0,data\sampling_layouts\cst_level1_tradeoff\cst_sampling_tradeoff_summary.json,python code\run_cst_sampling_tradeoff.py,"The generic grid fails before reduced-layout comparison, so low-point claims must wait.",Use structure-aware priors or true-monitor reruns before making sampling-compression claims.,
model_bottleneck,generic_grid_convention_check,Level 1 generic grid under phase/polarization transforms,diagnostic_only,diagnostic_only,"default_cube_5x3x3, current_phi_sign_flip, lambda=1e-05",0.7940780754690656,0.31842504622046325,59.95970153020868,,data\sampling_layouts\cst_level1_convention_check\cst_convention_check_summary.json,python code\run_cst_level1_convention_check.py,No simple global phase or theta/phi transform rescues the generic grid.,Stop spending time on global sign flips unless true-monitor comparison contradicts this result.,
model_bottleneck,group_sparse_equivalent_sources,Level 1 sparse source calibration on full 162-point layout,diagnostic_only,diagnostic_only,"default_cube_5x3x3, group_sparse, l2=0.0001, group=0.3",0.9283214104080826,0.0811101083682113,152.70142692289906,,data\sampling_layouts\cst_level1_sparse_calibration\cst_sparse_calibration_summary.json,python code\run_cst_sparse_reconstruction.py,Sparse support improves Corr/NMSE but does not fix the main-lobe/source-convention issue.,Do not tune sparsity alone; move to true monitor data and physical surface/vector bases.,
model_bottleneck,huygens_surface_prior,"Level 1 local Huygens surface, full 162-point reference",diagnostic_only,diagnostic_only,"huygens_em_minus, field=radiating_dipole, lambda=0.01, smooth=0.0",0.7780767817629073,0.26422876399681716,166.7079437239813,162.0,data\sampling_layouts\cst_level1_huygens_baseline\huygens_reconstruction_summary.json,python code\run_cst_huygens_baseline.py,"The Huygens workflow is runnable, but current field-model/smoothness axes still miss the physics gate.",Rerun on true-monitor input and validate the electric/magnetic surface-current convention.,
model_bottleneck,meshsafe_huygens_impedance_stability,2 scalar eta calibration cases plus H-field tree readiness,cross_case_impedance_disagreement,calibration_sensitivity_check,L1_halfwave_dipole_z_1p2G:eta=0.0312eta0/candidate_interior_eta; L1_short_dipole_z_1p2G:eta=0.0625eta0/candidate_interior_eta,0.9989454730423356,0.0008012910468817,0.0,96.0,data\sampling_layouts\cst_meshsafe_huygens_impedance_stability\impedance_stability_summary.json,python code\run_cst_impedance_stability_gate.py,"The lower-eta extension removed the immediate scan-boundary issue, but the two real CST cases now prefer different eta_eff values. Latest batch H-field coverage is 2/2 loaded and real E/H acceptance is 2/2; 2/2 best settings use a real-H branch; the older stability ResultTree flag is hfield_resulttree_missing. Therefore the scalar impedance route is a source-dependent calibrated proxy, not a single global physical impedance closure.",Rerun the stability check through the accepted real E/H branch and keep scalar eta_eff as a proxy baseline before using this route in final Huygens wording.,
